OpenUXbuild,Data-driven approaches to the constructed user experience,,,,,,,,
Stage:,(Sandbox | Development | Staging | Production),,,,,,,,
Description:,Your project description here.,,,,,,,,
Date,Status,Process,Master Notes,Project,Status,Date,Notes,Code,Example(s)
,,,,,,,,,
CONFIG,,,,,,,,,
KEYWORDS,"Security, Uptime",,,,,,,,
,COMPLETE,URL,www.projectA.com,PROJECT A,COMPLETE,00/23/15,asdfasd asd asdfasd asdf asd ds as dfds faaasdfasd asdf asd ds as dfds faaf asd ds as dfds faa,,
,IN PROGRESS,,,,,,,,
,INVESTIGATING,,www.projectB.com,PROJECT B,,,,,
,TODO,,,PROJECT C,IN PROGRESS,00/23/16,"another version of this step can go here, blah blah",,
,,,,PROJECT D,,,,,
,,,,PROJECT E,,,,,
,,,,PROJECT F,,,,,
,,,,,,,,,
,,IP,,,,,,,
,,Type,,,,,,,
,,Owner/Client,,,,,,,
,,Purpose,,,,,,,
,,Hosting,,,,,,,
,,Domain Reg. Location,,,,,,,
,,Domain Reg. Time,,,,,,,
,,Domain Reg. Method,,,,,,,
,,Domain Price,,,,,,,
,,Domain Reg. Pay,,,,,,,
,,Database,,,,,,,
,,Database UN,,,,,,,
,,Database PW,(Keep secure or elsewhere),,,,,,
,,PHPMyAdmin,,,,,,,
,,PHPMyAdmin URL,,,,,,,
,,PHPMyAdmin UN,,,,,,,
,,PHPMyAdmin PW,(Keep secure or elsewhere),,,,,,
,,site admin un (through web),,,,,,,
,,site admin pw (through web),(Keep secure or elsewhere),,,,,,
,,Admin URL,,,,,,,
,,ssh un,,,,,,,
,,ssh pw,(Keep secure or elsewhere),,,,,,
,,file system un (smb),,,,,,,
,,file system pw (smb),(Keep secure or elsewhere),,,,,,
,,"ftp un (Dreamweaver, Filezilla)",,,,,,,
,,"ftp pw (Dreamweaver, Filezilla)",(Keep secure or elsewhere),,,,,,
,,,,,,,,,
,,,,,,,,,
EARLY PLANNING,,,,,,,,,
KEYWORDS,"Description, Needs, Goals, Target User Groups, Tagline, Media Ecosystem, Technologies, CBA, Competetive Matrix, Documentation Management, Roles, Team, Project Management, Market Factors, Target Technologies, Technology Needs, Code Management, File Management, Asset Management, Agile, Progressive Enhancement, Fault Tolerance, Brainstorm",,,,,,,,
0/0/14,,List project needs,,,,,,,
,,List project goals and objectives,,,,,,,
,,Write Target Brand/Message,,,,,,,
,,Write project description,100 word version,,,,,,
,,,500 word version,PROJECT A,COMPLETE,00/23/15,asdfasd asd asdfasd asdf asd ds as dfds faaasdfasd asdf asd ds as dfds faaf asd ds as dfds faa,<html><head></head></html>,"images here, urls, etc."
,,,2000 word version,,IN PROGRESS,00/23/16,"another version of this step can go here, blah blah",<html><head></head></html>,"images here, urls, etc."
,,,,PROJECT B,,,,,
,,,,PROJECT C,,,,,
,,,,PROJECT D,,,,,
,,,,PROJECT E,,,,,
,,,,PROJECT F,,,,,
,,,,,,,,,
,,Balanced Media Ecosystem,,,,,,,
,,Identify target user(s) and groups,,,,,,,
,,Identify target technologies (user technology requirements),,,,,,,
,,Identify techs to build project,,,,,,,
,,List market factors,,,,,,,
,,Competetive matrix (as needed),,,,,,,
,,Cost benefit analysis (as needed),,,,,,,
,,Team Roles Assigned,,,,,,,
,,Source Code Management,,,,,,,
,,Project Documentation Management,,,,,,,
,,Project Progress Management,,,,,,,
,,,,,,,,,
,,,,,,,,,
PRELIM TARGET & DEVELOPMENT RESEARCH,,,,,,,,,
KEYWORDS,"User Surveys, Usability Studies, Focus Groups, Benchmarking, Budget Model, Production Schedule, Analytics Analysis, Usability Data, Stakeholders Interviews, Design Document, Development Journal",,,,,,,,
0/0/14,,Prelim budget model,,,,,,,
,,Proposed Production schedule,,,,,,,
,,Benchmarking,,,,,,,
,,Analyze existing web analytics,,,,,,,
,,Analyze existing usabilty data,,,,,,,
,,Stakeholder interview questions decided on,,,,,,,
,,Stakeholder interviews,,,,,,,
,,Survey of Target User Groups,,,,,,,
,,Focus Groups - (as needed),,,,,,,
,,Create New Master Design Doc," to understand target user groups better, what they want, use, etc.[X] - basically using the meetings with what Sue and Anne want as this step.",,,,,,
,,Send out design doc draft to stakeholders,,,,,,,
,,Get feedback as needed,,,,,,,
,,,,,,,,,
,,Start existing-content audit,,,,,,,
,,,,,,,,,
,,,,,,,,,
DESIGN,,,,,,,,,
KEYWORDS,"Information Architecture, Web Architecture, Tagging, Taxonomy, Vocabulary, Usability Studies, Mood Board, Style Guide, User Personas, User Flows, Wireframes, User Interface, Desktop, Tablet, Mobile, Static Design, Hypertext, HTTP, HTML, CSS, DOM, Web Browser, Accessibility, Universality, Searchability, Scalability, Social Channels, Mobile Responsive, Device Testing, Brainstorm",,,,,,,,
0/0/14,,Generate Creative Vision,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,CREATE STORYBOARDS, for each target user group (as needed),,,,,,
,,,,,,,,,
,,CREATE INFO ARCH,text outline of IA,,,,,,
,,Usability studies (as needed*),,,,,,,
,,Websort (cardsorting experiments) with user samples,,,,,,,
,,"get approved, feedback as needed[X]",,,,,,,
,,Tagging vocabulary written ,,,,,,,
,,,,,,,,,
,,CREATE WEB ARCHITECTURE [X] Template is complete,,,,,,,
,,Usability studies (as needed),,,,,,,
,,"Get approved, feedback as needed ",,,,,,,
,,,,,,,,,
,,Mood board,,,,,,,
,,Style Guide,,,,,,,
,,,,,,,,,
,,UI -->,,,,,,,
,,CREATE USER PERSONAS,(simple profiles) for each target user group[X],,,,,,
,,,,,,,,,
,,CREATE USER FLOWS ,"(graphical, how each profile will work through the site architecture) for each target user group (as needed) [X]",,,,,,
,,,,,,,,,
,,,,,,,,,
,,CREATE WIREFRAMES,Can be based on existing Drupal theme to speed up development (Bootstrap),,,,,,
,,,Pencil Paper,,,,,,
,,,Templates,,,,,,
,,,Sofware,,,,,,
,,,Code (HTML CSS Builds),,,,,,
,,Desktop: 801w - 1620w (x 1024h),,,,,,,
,,suggestions from stakeholders (in email) implemented[X](in paper ux wireframe or IA in des doc),,,,,,,
,,Tier 2 pages,,,,,,,
,,News all[ ],,,,,,,
,,News single[ ],,,,,,,
,,People all[ ],,,,,,,
,,Person single profile[ ],,,,,,,
,,Tablet,,,,,,,
,,landscape (fits desktop) [ ],,,,,,,
,,-portrait:  ,,,,,,,
,,-Phone[ ],,,,,,,
,,Usability studies (as needed),,,,,,,
,,"Get feedback, approved as needed",,,,,,,
,,Create static visual designs & style guide,,,,,,,
,,Desktop,,,,,,,
,,Tablet,,,,,,,
,,Phone,,,,,,,
,,,,,,,,,
,,USABILITY STUDIES ON DESIGN IDEAS (as needed),,,,,,,
,,Usability studies report created,,,,,,,
,,Get feedback as needed,,,,,,,
,,,,,,,,,
LOCAL DEVELOPMENT,,,,,,,,,
KEYWORDS,"HTML, CSS, Content Management System, Stability, Web Standards, Lightweight, Secure, Open, Semantic, Interoperable, Energy Utilization, Performance, Security, SEO, Analytics, Standards Compliant",,,,,,,,
0/0/14,,Create html & css versions (as needed),,,,,,,
,,"Get approved, feedback (as needed)",,,,,,,
,,,,,,,,,
,,Setup Drupal site,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,New Drupal install,,,,,,,
,,build in with multisite as needed,,,,,,,
,,Document new process of using Drush to update new Drupal 7 core and modules,,,,,,,
,,,,,,,,,
,,"Get set up and use source code versioning (Git, Github, Bitbucket, etc.)",,,,,,,
,,Workflow with developers (as needed),,,,,,,
,,,,,,,,,
,,,,,,,,,
"MODULES (Master ""Must have"" Drupal Module List)",,,,,,,,,
KEYWORDS,,,,,,,,,
,,http://simplytest.me/,Evaluate Drupal projects online,,,,,,
0/0/14,,"Drupal Core (latest) -- Includes: Bartik, Block, Blog, Book, Color, Comment, Contact, Content translation, Contextual links, Dashboard, Database logging, Field, Field SQL storage, Field UI, File, Filter, Forum, Help, Image, List, Locale, Menu, Node, Number, Options, Overlay, Path, Poll, RDF, Search, Seven, Statistics, Syslog, System, Taxonomy, Text, Tracker, Update manager, User (Drupal core)",,,,,,,
,,"Administration menu (module) 7.x-3.0-rc4 -- Includes: Administration Development tools, Administration menu (Better admin menu)",,,,,,,
,,Chaos tool suite (ctools) 7.x-1.4 -- Includes: Chaos tools (required to build views),,,,,,,
,,"Views (module) 7.x-3.8 -- Includes: Views, Views UI (customizing pages, blocks)",,,,,,,
,,"CKEditor (module) - WYSIWYG HTML editor 7.x-1.14 -- Includes: CKEditor (the best wysiwyg, at least for now)",,,,,,,
,,CKFinder - adds file browser and html5 dragndrop file adds to ckeditor wysiwyg (see my notes for install),,,,,,,
,,"jQuery Update (module) 7.x-2.4 -- Includes: jQuery Update (*should suffice for Media Barn's navigation Js, will follow up with Andy, et al)",,,,,,,
,,,,,,,,,
,,"Panels (module) -- Drupal’s block system can be really cumbersome to work on, as your site gets more and more complex. You may want fine grain control over the way your page is displayed-if not now, then may be later. Panels is an alternative to Drupal’s default block system.",,,,,,,
,,Calendars (if needed) - Calendar (module),,,,,,,
,,Directory -,,,,,,,
,,People profiles - custom View,,,,,,,
,,"People groups - ""Faculty & Staff"" page - custom View displaying site members",,,,,,,
,,Offices (same as people groups?) - custom View displaying site members,,,,,,,
,,Research institutes & labs (same as people groups?) - custom View displaying site members,,,,,,,
,,"Events, landing and dump - custom View",,,,,,,
,,"Signup (module) - users sign up, get auto reminder day prior, etc.",,,,,,,
,,"News, landing and dump - custom View",,,,,,,
,,String Overrides (module) - allows for easy editing of default Drupal messaging on various functionalities,,,,,,,
,,"Location (module), GMAP (module) - maybe do some cool things with site user, research projects, by plotting on a map to display",,,,,,,
,,"Site Access Module (module) -- Content people, managers, etc. allows for powerful custom workflow who can view what",,,,,,,
,,"Webform (module) -- adds a webform as a nodetype which allows you to offer register forms, surveys, polls and much more. It’s also a good alternative to Drupal’s site-wide contact form.",,,,,,,
,,Advanced Forum (module) — adds more robust functions for drupal core forums,,,,,,,
